userName,accountId,password,language,primaryRole,secondaryRole,firstName,lastName,phoneNumber,mobileNumber,faxPhoneNumber,primaryEmail,secondaryEmail,streetAddress1,streetAddress2,city,stateProvince,zipPostalCode,countryCode,company,physicalDeliveryOfficeName,department,jobTitle,isBusinessContact,isTechnicalContact,isAccountBC,isAccountTC,faxCountryCode,faxAreaCode,displayName,adUserName
PG_local_u1,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø1,NorÅåÆæØø_LN1,NA,,033-2347895,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,49 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,TRUE,TRUE,TRUE,,91,33,NorÅåÆæØø1-DN1,
PG_local_u2,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø2,NorÅåÆæØø_LN2,NA,,033-2347896,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,50 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,TRUE,91,33,NorÅåÆæØø1-DN2,
PG_local_u3,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø3,NorÅåÆæØø_LN3,NA,,033-2347897,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,51 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN3,
PG_local_u4,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø4,NorÅåÆæØø_LN4,NA,,033-2347898,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,52 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN4,
PG_local_u5,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø5,NorÅåÆæØø_LN5,NA,,033-2347899,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,53 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN5,
PG_local_u6,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø6,NorÅåÆæØø_LN6,NA,,033-2347900,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,54 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN6,
PG_local_u7,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø7,NorÅåÆæØø_LN7,NA,,033-2347901,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,55 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN7,
PG_local_u8,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø8,NorÅåÆæØø_LN8,NA,,033-2347902,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,56 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN8,
PG_local_u9,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø9,NorÅåÆæØø_LN9,NA,,033-2347903,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,57 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN9,
PG_local_u10,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø10,NorÅåÆæØø_LN10,NA,,033-2347904,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,58 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN10,
PG_local_u11,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø11,NorÅåÆæØø_LN11,NA,,033-2347905,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,59 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN11,
PG_local_u12,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø12,NorÅåÆæØø_LN12,NA,,033-2347906,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,60 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN12,
PG_local_u13,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø13,NorÅåÆæØø_LN13,NA,,033-2347907,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,61 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN13,
PG_local_u14,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø14,NorÅåÆæØø_LN14,NA,,033-2347908,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,62 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN14,
PG_local_u15,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø15,NorÅåÆæØø_LN15,NA,,033-2347909,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,63 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN15,
PG_local_u16,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø16,NorÅåÆæØø_LN16,NA,,033-2347910,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,64 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN16,
PG_local_u17,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø17,NorÅåÆæØø_LN17,NA,,033-2347911,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,65 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN17,
PG_local_u18,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø18,NorÅåÆæØø_LN18,NA,,033-2347912,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,66 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN18,
PG_local_u19,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø19,NorÅåÆæØø_LN19,NA,,033-2347913,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,67 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN19,
PG_local_u20,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø20,NorÅåÆæØø_LN20,NA,,033-2347914,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,68 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN20,
PG_local_u21,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø21,NorÅåÆæØø_LN21,NA,,033-2347915,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,69 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN21,
PG_local_u22,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø22,NorÅåÆæØø_LN22,NA,,033-2347916,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,70 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN22,
PG_local_u23,10960,Independent12#,en_US,Organization Super Admin,Organization Super Admin,NorÅåÆæØø23,NorÅåÆæØø_LN23,NA,,033-2347917,ex13mig1@gmail.com,pintu.org.4loops@gmail.com,71 San Martin,"79A,sovabazar street",Buenos Aires,US-ZONE,713427,USA,Adidas Corporation,23 Killarney Avenue,Sales,Salesman,FALSE,FALSE,FALSE,FALSE,91,33,NorÅåÆæØø1-DN23,
